# Seed	Infected count
1631205520	954
3213921916	1008
2651742051	975
1881906828	994
2841671989	968
350359428	1018
3113161131	928
284363088	902
757015574	903
1915366726	969
2065387828	899
2670634466	936
1217945086	928
2389100812	977
2433129646	931
1659953163	925
3802070382	926
2471671467	922
3781939909	926
3181898984	916
2344391622	986
3522746486	971
3978638753	946
2882029102	895
446525372	928
898132899	977
849422010	920
67484503	903
3614224320	919
3110049262	919
2789924310	995
3833706147	932
557585602	889
3991551685	954
2819823031	966
3385869590	982
2653552753	934
360341939	1006
1895033085	935
295046906	944
3940227734	910
405266415	972
491109085	876
399555614	973
4004112682	974
515006020	935
1336050608	943
3235065949	973
3675530996	948
3409696561	1010
19225356	991
2684210541	904
3324048776	961
1582617484	921
1252140130	914
4211668908	937
2158895275	911
1775636152	939
4041576022	985
874949326	914
1137180309	897
1395307065	970
2330506615	926
2065498964	982
3414370703	925
3246160077	1018
4199028822	1006
827339028	970
1531227291	954
3016246579	922
2913549074	876
519183069	919
53083663	895
3656079277	883
2958047527	959
1500510643	930
1876364510	919
1374533686	929
2659362559	897
1497845913	949
2826938358	971
2302212629	932
2301442932	995
3774807877	1010
845594409	919
1836520019	960
2878049689	975
383610994	984
3261872178	1003
4161033256	903
1290638383	978
2554918766	996
3804311049	962
1155484484	963
34878144	946
3015424274	1024
564668843	987
2660908511	908
3347776964	1003
1978814872	977
