# Seed	Infected count
1631205520	63088
3213921916	72115
2651742051	69429
1881906828	71895
2841671989	67568
350359428	68856
3113161131	65282
284363088	68504
757015574	67975
1915366726	68582
2065387828	68086
2670634466	73101
1217945086	66015
2389100812	73039
2433129646	67201
1659953163	64837
3802070382	61947
2471671467	72052
3781939909	67944
3181898984	67956
2344391622	66266
3522746486	70040
3978638753	69109
2882029102	63435
446525372	68884
898132899	67946
849422010	67946
67484503	70880
3614224320	70388
3110049262	73150
2789924310	73964
3833706147	68615
557585602	65528
3991551685	66693
2819823031	66307
3385869590	70396
2653552753	69477
360341939	69720
1895033085	69095
295046906	70453
3940227734	73516
405266415	72083
491109085	67191
399555614	70920
4004112682	64475
515006020	66352
1336050608	66593
3235065949	68636
3675530996	67935
3409696561	69585
19225356	70297
2684210541	68125
3324048776	69608
1582617484	68881
1252140130	68794
4211668908	68875
2158895275	66688
1775636152	68954
4041576022	70930
874949326	66385
1137180309	70481
1395307065	72238
2330506615	72496
2065498964	66636
3414370703	69424
3246160077	70050
4199028822	69017
827339028	70907
1531227291	70289
3016246579	71625
2913549074	73745
519183069	65792
53083663	67093
3656079277	69418
2958047527	67865
1500510643	68408
1876364510	67367
1374533686	69995
2659362559	62587
1497845913	73250
2826938358	70163
2302212629	66957
2301442932	70335
3774807877	68939
845594409	65899
1836520019	67008
2878049689	67717
383610994	69275
3261872178	67683
4161033256	67716
1290638383	68783
2554918766	69331
3804311049	68277
1155484484	70519
34878144	65987
3015424274	72947
564668843	72591
2660908511	68736
3347776964	68813
1978814872	71641
