# Seed	Infected count
0	1150
42949672	1243
85899344	1147
128849016	1127
171798688	1256
214748360	1214
257698032	1319
300647704	1165
343597376	1298
386547048	1221
429496720	1179
472446392	1299
515396064	1275
558345736	1188
601295408	1119
644245080	1257
687194752	1225
730144424	1264
773094096	1245
816043768	1217
858993440	1107
901943112	1214
944892784	1288
987842456	1292
1030792128	1265
1073741800	1214
1116691472	1173
1159641144	1145
1202590816	1206
1245540488	1195
1288490160	1215
1331439832	1215
1374389504	1272
1417339176	1313
1460288848	1263
1503238520	1230
1546188192	1288
1589137864	1269
1632087536	1197
1675037208	1226
1717986880	1236
1760936552	1177
1803886224	1160
1846835896	1194
1889785568	1173
1932735240	1208
1975684912	1145
2018634584	1227
2061584256	1178
2104533928	1217
2147483600	1164
2190433272	1272
2233382944	1274
2276332616	1167
2319282288	1175
2362231960	1255
2405181632	1210
2448131304	1339
2491080976	1290
2534030648	1252
2576980320	1266
2619929992	1089
2662879664	1263
2705829336	1344
2748779008	1192
2791728680	1273
2834678352	1179
2877628024	1237
2920577696	1170
2963527368	1228
3006477040	1219
3049426712	1225
3092376384	1155
3135326056	1182
3178275728	1170
3221225400	1159
3264175072	1203
3307124744	1241
3350074416	1269
3393024088	1249
3435973760	1201
3478923432	1215
3521873104	1179
3564822776	1150
3607772448	1245
3650722120	1201
3693671792	1207
3736621464	1307
3779571136	1263
3822520808	1218
3865470480	1245
3908420152	1303
3951369824	1209
3994319496	1176
4037269168	1159
4080218840	1263
4123168512	1193
4166118184	1187
4209067856	1181
4252017528	1220
