# Seed	Infected count
0	1150
42983770	1272
85870963	1227
128838537	1223
171835788	1169
214727959	1202
257677910	1069
300684851	1264
343586579	1298
386518885	1049
429530955	1248
472446060	1240
515362104	1211
558374331	1258
601305566	1151
644208028	1253
687215430	1272
730164264	1217
773056904	1296
816054881	1266
859021381	1175
901908742	1254
944893447	1173
987876273	1251
1030763318	1147
1073731960	1232
1116728470	1147
1159620189	1195
1202571257	1183
1245577720	1181
1288478729	1236
1331412112	1111
1374424004	1261
1417338180	1265
1460255175	1198
1503267540	1311
1546197710	1104
1589100921	1222
1632108765	1347
1675056482	1163
1717949609	1234
1760948298	1211
1803913718	1180
1846801266	1213
1889786895	1323
1932768764	1226
1975655682	1264
2018625387	1211
2061621140	1226
2104512426	1185
2147464611	1170
2190470578	1234
2233370883	1199
2276305348	1243
2319317043	1262
2362230300	1211
2405148257	1187
2448160740	1250
2491089850	1217
2533993824	1118
2577002092	1195
2619948693	1183
2662842325	1259
2705841710	1135
2748806046	1316
2791693801	1296
2834680342	1261
2877661246	1328
2920548054	1139
2963518816	1308
3006513798	1171
3049404669	1169
3092357970	1227
3135363423	1126
3178263040	1248
3221198592	1171
3264210071	1156
3307122421	1288
3350041349	1230
3393053931	1288
3435981988	1197
3478886740	1234
3521895413	1262
3564840899	1204
3607735054	1096
3650735119	1247
3693698366	1210
3736586346	1140
3779573789	1234
3822553717	1223
3865440436	1166
3908412247	1347
3951406445	1215
3994296920	1238
4037251335	1232
4080256257	1167
4123155201	1269
4166091844	1134
4209103088	1235
4252014543	1171
