# Seed	Infected count
0	1150
42915573	1331
85927724	1279
128859494	1180
171761587	1257
214768760	1226
257718153	1218
300610556	1228
343608172	1280
386575210	1212
429462484	1240
472446723	1094
515430023	1147
558317140	1178
601285249	1197
644282131	1182
687174073	1292
730124583	1213
773131287	1208
816032654	1151
858965498	1219
901977481	1207
944892120	1239
987808638	1167
1030820937	1171
1073751639	1253
1116654473	1207
1159662098	1345
1202610374	1284
1245503255	1220
1288501590	1241
1331467551	1249
1374355003	1313
1417340171	1219
1460322520	1220
1503209499	1222
1546178673	1104
1589174806	1211
1632066306	1213
1675017933	1316
1718024150	1179
1760924805	1222
1803858729	1216
1846870525	1245
1889784240	1222
1932701715	1174
1975714141	1198
2018643780	1218
2061547371	1339
2104555429	1140
2147502588	1133
2190395965	1237
2233395004	1224
2276359883	1240
2319247532	1269
2362233619	1191
2405215006	1167
2448101867	1267
2491072101	1315
2534067471	1252
2576958547	1164
2619911290	1157
2662917002	1214
2705816961	1201
2748751969	1182
2791763558	1245
2834676361	1123
2877594801	1298
2920607337	1234
2963535919	1180
3006440281	1203
3049448754	1239
3092394797	1352
3135288688	1224
3178288415	1255
3221252207	1166
3264140072	1175
3307127066	1278
3350107482	1271
3392994244	1300
3435965531	1169
3478960123	1239
3521850794	1153
3564804652	1184
3607809841	1203
3650709120	1273
3693645217	1169
3736656581	1304
3779568482	1209
3822487898	1233
3865500523	1210
3908428056	1203
3951333202	1200
3994342071	1155
4037287000	1108
4080181422	1115
4123181822	1325
4166144523	1210
4209032623	1164
4252020512	1258
