# Seed	Infected count
0	114920
42949672	114809
85899344	114829
128849016	114962
171798688	114850
214748360	114956
257698032	114953
300647704	114973
343597376	114730
386547048	115042
429496720	114644
472446392	115097
515396064	115012
558345736	114749
601295408	114821
644245080	114887
687194752	114859
730144424	114886
773094096	114959
816043768	114741
858993440	114795
901943112	114698
944892784	114881
987842456	114956
1030792128	114989
1073741800	114912
1116691472	114840
1159641144	114840
1202590816	114821
1245540488	114553
1288490160	114901
1331439832	114838
1374389504	114934
1417339176	114756
1460288848	114939
1503238520	115122
1546188192	114782
1589137864	114982
1632087536	114859
1675037208	114938
1717986880	114638
1760936552	115046
1803886224	114952
1846835896	114918
1889785568	114952
1932735240	114792
1975684912	115003
2018634584	115038
2061584256	114862
2104533928	114755
2147483600	114844
2190433272	114785
2233382944	114643
2276332616	114861
2319282288	114936
2362231960	114751
2405181632	114653
2448131304	114894
2491080976	114956
2534030648	114854
2576980320	114874
2619929992	115149
2662879664	114801
2705829336	114860
2748779008	114774
2791728680	114754
2834678352	114677
2877628024	114669
2920577696	114906
2963527368	115119
3006477040	114842
3049426712	114846
3092376384	114933
3135326056	114919
3178275728	114915
3221225400	114833
3264175072	114499
3307124744	115089
3350074416	114828
3393024088	114870
3435973760	114701
3478923432	114894
3521873104	114864
3564822776	114921
3607772448	114666
3650722120	114968
3693671792	114601
3736621464	114968
3779571136	114823
3822520808	114747
3865470480	114848
3908420152	114791
3951369824	114826
3994319496	114770
4037269168	114926
4080218840	115061
4123168512	114764
4166118184	114663
4209067856	114725
4252017528	114818
