# Seed	Infected count
0	114920
42983770	114745
85870963	114830
128838537	114695
171835788	114815
214727959	114924
257677910	114790
300684851	114836
343586579	114708
386518885	114895
429530955	114890
472446060	114988
515362104	114836
558374331	115186
601305566	114968
644208028	114618
687215430	114861
730164264	114835
773056904	114952
816054881	114880
859021381	114909
901908742	114869
944893447	114906
987876273	115120
1030763318	114994
1073731960	114909
1116728470	115046
1159620189	115028
1202571257	114874
1245577720	114812
1288478729	114753
1331412112	114779
1374424004	114891
1417338180	114782
1460255175	114871
1503267540	114711
1546197710	114908
1589100921	114521
1632108765	114814
1675056482	114698
1717949609	114952
1760948298	114918
1803913718	114693
1846801266	115118
1889786895	114932
1932768764	114999
1975655682	114966
2018625387	114982
2061621140	114987
2104512426	114842
2147464611	114940
2190470578	115017
2233370883	114932
2276305348	114725
2319317043	114642
2362230300	115013
2405148257	114722
2448160740	114895
2491089850	114852
2533993824	114776
2577002092	114779
2619948693	114808
2662842325	114817
2705841710	114825
2748806046	114823
2791693801	114964
2834680342	114819
2877661246	114890
2920548054	114902
2963518816	114824
3006513798	114982
3049404669	114927
3092357970	114772
3135363423	115104
3178263040	114820
3221198592	114853
3264210071	114563
3307122421	114841
3350041349	115071
3393053931	114629
3435981988	115019
3478886740	114909
3521895413	114715
3564840899	114926
3607735054	114965
3650735119	114877
3693698366	114986
3736586346	114763
3779573789	114536
3822553717	115053
3865440436	114710
3908412247	114714
3951406445	115011
3994296920	114811
4037251335	114838
4080256257	114765
4123155201	114994
4166091844	114920
4209103088	114707
4252014543	114746
