# Seed	Infected count
0	118132
42983770	118128
85870963	118259
128838537	118169
171835788	118208
214727959	118098
257677910	118183
300684851	118245
343586579	118237
386518885	118215
429530955	118123
472446060	118321
515362104	118166
558374331	118211
601305566	118238
644208028	118249
687215430	118346 
730164264	118171
773056904	118051
816054881	118162
859021381	118200
901908742	118181
944893447	118252
987876273	118249
1030763318	118174
1073731960	118141
1116728470	118215
1159620189	118158
1202571257	118192
1245577720	118201
1288478729	118211
1331412112	118260
1374424004	118148
1417338180	118402
1460255175	118194
1503267540	118210
1546197710	118248
1589100921	118152
1632108765	118220
1675056482	118221
1717949609	118148
1760948298	118105
1803913718	118195
1846801266	118206
1889786895	118221
1932768764	118211
1975655682	118198
2018625387	118252
2061621140	118190
2104512426	118243
2147464611	118255
2190470578	118229
2233370883	118348
2276305348	118092
2319317043	118214
2362230300	118164
2405148257	118220 
2448160740	118224
2491089850	118112
2533993824	118214
2577002092	118221
2619948693	118217
2662842325	118230
2705841710	118213
2748806046	118231
2791693801	118167
2834680342	118160
2877661246	118141
2920548054	118294
2963518816	118257
3006513798	118236
3049404669	118200
3092357970	118066
3135363423	118153
3178263040	118275
3221198592	118131
3264210071	118242
3307122421	118207
3350041349	118222
3393053931	118166
3435981988	118272
3478886740	118296
3521895413	118236
3564840899	118226
3607735054	118227
3650735119	118283
3693698366	118134
3736586346	118230
3779573789	118129
3822553717	118198
3865440436	118203
3908412247	118150
3951406445	118163
3994296920	118224
4037251335	118199
4080256257	118206
4123155201	118153
4166091844	118239
4209103088	118243
4252014543	118290
